,city,state
0,Mumbai,Maharashtra
1,Delhi,Delhi
2,Bengaluru,Karnataka
3,Ahmedabad,Gujarat
4,Hyderabad,Telangana
5,Chennai,Tamil Nadu
6,Kolkata,West Bengal
7,Pune,Maharashtra
8,Jaipur,Rajasthan
9,Surat,Gujarat
10,Lucknow,Uttar Pradesh
11,Kanpur,Uttar Pradesh
12,Nagpur,Maharashtra
13,Patna,Bihar
14,Indore,Madhya Pradesh
15,Thane,Maharashtra
16,Bhopal,Madhya Pradesh
17,Visakhapatnam,Andhra Pradesh
18,Vadodara,Gujarat
19,Firozabad,Uttar Pradesh
20,Ludhiana,Punjab
21,Rajkot,Gujarat
22,Agra,Uttar Pradesh
23,Siliguri,West Bengal
24,Nashik,Maharashtra
25,Faridabad,Haryana
26,Patiala,Punjab
27,Meerut,Uttar Pradesh
28,Kalyan-Dombivali,Maharashtra
29,Vasai-Virar,Maharashtra
30,Varanasi,Uttar Pradesh
31,Srinagar,Jammu and Kashmir
32,Dhanbad,Jharkhand
33,Jodhpur,Rajasthan
34,Amritsar,Punjab
35,Raipur,Chhattisgarh
36,Allahabad,Uttar Pradesh
37,Coimbatore,Tamil Nadu
38,Jabalpur,Madhya Pradesh
39,Gwalior,Madhya Pradesh
40,Vijayawada,Andhra Pradesh
41,Madurai,Tamil Nadu
42,Guwahati,Assam
43,Chandigarh,Chandigarh
44,Hubli-Dharwad,Karnataka
45,Amroha,Uttar Pradesh
46,Moradabad,Uttar Pradesh
47,Gurgaon,Haryana
48,Aligarh,Uttar Pradesh
49,Solapur,Maharashtra
50,Ranchi,Jharkhand
51,Jalandhar,Punjab
52,Tiruchirappalli,Tamil Nadu
53,Bhubaneswar,Odisha
54,Salem,Tamil Nadu
55,Warangal,Telangana
56,Mira-Bhayandar,Maharashtra
57,Thiruvananthapuram,Kerala
58,Bhiwandi,Maharashtra
59,Saharanpur,Uttar Pradesh
60,Guntur,Andhra Pradesh
61,Amravati,Maharashtra
62,Bikaner,Rajasthan
63,Noida,Uttar Pradesh
64,Jamshedpur,Jharkhand
65,Bhilai Nagar,Chhattisgarh
66,Cuttack,Odisha
67,Kochi,Kerala
68,Udaipur,Rajasthan
69,Bhavnagar,Gujarat
70,Dehradun,Uttarakhand
71,Asansol,West Bengal
72,Nanded-Waghala,Maharashtra
73,Ajmer,Rajasthan
74,Jamnagar,Gujarat
75,Ujjain,Madhya Pradesh
76,Sangli,Maharashtra
77,Loni,Uttar Pradesh
78,Jhansi,Uttar Pradesh
79,Pondicherry,Puducherry
80,Nellore,Andhra Pradesh
81,Jammu,Jammu and Kashmir
82,Belagavi,Karnataka
83,Raurkela,Odisha
84,Mangaluru,Karnataka
85,Tirunelveli,Tamil Nadu
86,Malegaon,Maharashtra
87,Gaya,Bihar
88,Tiruppur,Tamil Nadu
89,Davanagere,Karnataka
90,Kozhikode,Kerala
91,Akola,Maharashtra
92,Kurnool,Andhra Pradesh
93,Bokaro Steel City,Jharkhand
94,Rajahmundry,Andhra Pradesh
95,Ballari,Karnataka
96,Agartala,Tripura
97,Bhagalpur,Bihar
98,Latur,Maharashtra
99,Dhule,Maharashtra
100,Korba,Chhattisgarh
101,Bhilwara,Rajasthan
102,Brahmapur,Odisha
103,Mysore,Karnatka
104,Muzaffarpur,Bihar
105,Ahmednagar,Maharashtra
106,Kollam,Kerala
107,Raghunathganj,West Bengal
108,Bilaspur,Chhattisgarh
109,Shahjahanpur,Uttar Pradesh
110,Thrissur,Kerala
111,Alwar,Rajasthan
112,Kakinada,Andhra Pradesh
113,Nizamabad,Telangana
114,Sagar,Madhya Pradesh
115,Tumkur,Karnataka
116,Hisar,Haryana
117,Rohtak,Haryana
118,Panipat,Haryana
119,Darbhanga,Bihar
120,Kharagpur,West Bengal
121,Aizawl,Mizoram
122,Ichalkaranji,Maharashtra
123,Tirupati,Andhra Pradesh
124,Karnal,Haryana
125,Bathinda,Punjab
126,Rampur,Uttar Pradesh
127,Shivamogga,Karnataka
128,Ratlam,Madhya Pradesh
129,Modinagar,Uttar Pradesh
130,Durg,Chhattisgarh
131,Shillong,Meghalaya
132,Imphal,Manipur
133,Hapur,Uttar Pradesh
134,Ranipet,Tamil Nadu
135,Anantapur,Andhra Pradesh
136,Arrah,Bihar
137,Karimnagar,Telangana
138,Parbhani,Maharashtra
139,Etawah,Uttar Pradesh
140,Bharatpur,Rajasthan
141,Begusarai,Bihar
142,New Delhi,Delhi
143,Chhapra,Bihar
144,Kadapa,Andhra Pradesh
145,Ramagundam,Telangana
146,Pali,Rajasthan
